,y_test,y_test_pred
318,0.171,0.105
319,0.164,0.102
320,0.164,0.094
321,0.156,0.083
322,0.166,0.093
323,0.17,0.095
324,0.186,0.102
325,0.174,0.105
326,0.167,0.092
327,0.156,0.087
328,0.152,0.087
329,0.15,0.088
330,0.15,0.093
331,0.144,0.101
332,0.132,0.107
333,0.126,0.109
334,0.123,0.115
335,0.142,0.134
336,0.232,0.16
337,0.294,0.184
338,0.228,0.189
339,0.343,0.202
340,0.264,0.199
341,0.337,0.209
342,0.276,0.196
343,0.252,0.186
344,0.251,0.172
345,0.192,0.164
346,0.236,0.162
347,0.225,0.157
348,0.217,0.148
349,0.223,0.149
350,0.201,0.144
351,0.191,0.142
352,0.293,0.137
353,0.28,0.155
354,0.252,0.158
355,0.238,0.154
356,0.288,0.158
357,0.313,0.16
358,0.351,0.158
359,0.322,0.156
360,0.334,0.156
361,0.273,0.138
362,0.265,0.121
363,0.291,0.115
364,0.212,0.097
365,0.208,0.097
366,0.165,0.085
367,0.135,0.088
368,0.166,0.085
369,0.148,0.09
370,0.159,0.089
371,0.111,0.081
372,0.113,0.08
373,0.109,0.081
374,0.118,0.076
375,0.133,0.075
376,0.155,0.075
377,0.137,0.066
378,0.13,0.063
379,0.124,0.059
380,0.131,0.059
381,0.145,0.061
382,0.139,0.059
383,0.131,0.054
384,0.137,0.058
385,0.134,0.05
386,0.129,0.05
387,0.133,0.045
388,0.143,0.047
389,0.122,0.045
390,0.12,0.047
391,0.132,0.052
392,0.145,0.053
393,0.138,0.058
394,0.162,0.062
395,0.141,0.062
396,0.085,0.042
397,0.087,0.051
398,0.088,0.052
399,0.08,0.047
400,0.086,0.044
401,0.096,0.046
402,0.088,0.047
403,0.078,0.045
404,0.077,0.042
405,0.07,0.038
406,0.09,0.039
407,0.077,0.041
408,0.07,0.038
409,0.082,0.04
410,0.105,0.039
411,0.179,0.045
412,0.112,0.042
413,0.079,0.042
414,0.081,0.043
415,0.077,0.045
416,0.072,0.045
417,0.078,0.048
418,0.075,0.05
419,0.087,0.051
420,0.092,0.053
421,0.074,0.052
422,0.068,0.048
423,0.074,0.049
424,0.075,0.05
425,0.066,0.051
426,0.193,0.071
427,0.151,0.064
428,0.171,0.064
429,0.146,0.061
430,0.13,0.056
431,0.131,0.051
432,0.131,0.044
433,0.131,0.043
434,0.12,0.044
435,0.12,0.046
436,0.144,0.044
437,0.114,0.037
438,0.113,0.034
439,0.096,0.029
440,0.109,0.033
441,0.127,0.044
442,0.13,0.048
443,0.159,0.051
444,0.164,0.052
445,0.155,0.048
446,0.148,0.045
447,0.147,0.048
448,0.177,0.053
449,0.172,0.048
450,0.146,0.049
451,0.143,0.048
452,0.146,0.051
453,0.146,0.052
454,0.144,0.055
455,0.15,0.054
456,0.126,0.048
457,0.134,0.052
458,0.137,0.052
459,0.128,0.051
460,0.125,0.049
461,0.124,0.051
462,0.13,0.053
463,0.13,0.052
464,0.144,0.064
465,0.143,0.054
466,0.116,0.052
467,0.132,0.053
468,0.113,0.045
469,0.111,0.045
470,0.111,0.045
471,0.096,0.042
472,0.098,0.042
473,0.101,0.043
474,0.081,0.042
475,0.09,0.042
476,0.131,0.049
477,0.108,0.046
478,0.088,0.043
479,0.119,0.05
480,0.095,0.05
481,0.106,0.048
482,0.072,0.043
483,0.075,0.043
484,0.098,0.043
485,0.07,0.044
486,0.071,0.039
487,0.053,0.034
488,0.054,0.033
489,0.056,0.036
490,0.049,0.033
491,0.076,0.032
492,0.066,0.033
493,0.08,0.036
494,0.076,0.035
495,0.075,0.054
496,0.092,0.04
497,0.079,0.043
498,0.116,0.047
499,0.106,0.045
500,0.106,0.048
501,0.103,0.046
502,0.096,0.042
503,0.099,0.043
504,0.106,0.044
505,0.095,0.04
506,0.122,0.046
507,0.095,0.041
508,0.099,0.04
509,0.096,0.04
510,0.087,0.04
511,0.094,0.046
512,0.121,0.049
513,0.119,0.047
514,0.113,0.045
515,0.122,0.05
516,0.135,0.07
517,0.13,0.069
518,0.149,0.072
519,0.143,0.071
520,0.096,0.067
521,0.147,0.099
522,0.137,0.094
523,0.154,0.103
524,0.137,0.103
525,0.131,0.103
526,0.139,0.107
527,0.156,0.11
528,0.149,0.115
529,0.112,0.116
530,0.11,0.118
531,0.085,0.032
532,0.084,0.033
533,0.1587,0.0651
534,0.1428,0.0621
535,0.1325,0.0606
536,0.1529,0.0613
537,0.131,0.0596
538,0.1262,0.0589
539,0.1344,0.0614
540,0.1572,0.0606
541,0.1425,0.0638
542,0.137,0.0638
543,0.1279,0.0664
544,0.1252,0.0627
545,0.1238,0.0664
546,0.1298,0.0677
547,0.1298,0.065
548,0.1437,0.0745
549,0.1433,0.0647
550,0.1161,0.0621
551,0.1322,0.0676
552,0.1135,0.0624
553,0.1113,0.0634
554,0.1106,0.0664
555,0.096,0.063
556,0.0978,0.0668
557,0.1011,0.0712
558,0.0813,0.0736
559,0.0897,0.076
560,0.1383,0.0784
561,0.1077,0.0845
562,0.0879,0.0827
563,0.1194,0.1021
564,0.095,0.1061
565,0.1061,0.0987
566,0.0725,0.0744
567,0.0754,0.0644
568,0.0978,0.0633
569,0.07,0.0597
570,0.0714,0.0541
571,0.0532,0.0445
572,0.0538,0.045
573,0.0559,0.0468
574,0.0495,0.0438
575,0.0761,0.0462
576,0.0658,0.0468
577,0.0804,0.0499
578,0.0755,0.0519
579,0.0748,0.0697
580,0.0921,0.0567
581,0.0795,0.0624
582,0.1156,0.0662
583,0.1058,0.0644
584,0.1281,0.0652
585,0.1065,0.0593
586,0.1034,0.0516
587,0.0962,0.0442
588,0.0993,0.0455
589,0.1056,0.046
590,0.0946,0.0426
591,0.1263,0.0474
592,0.1216,0.048
593,0.0948,0.0454
594,0.0986,0.0448
595,0.096,0.0431
596,0.0872,0.0436
597,0.0942,0.0514
598,0.1212,0.0573
599,0.1187,0.0545
600,0.1128,0.0539
601,0.1219,0.0577
602,0.1293,0.0514
603,0.1306,0.0506
604,0.1239,0.0484
605,0.102,0.0592
606,0.1054,0.0618
607,0.0915,0.0663
608,0.0809,0.0597
609,0.079,0.0404
610,0.0826,0.0454
611,0.0973,0.0483
612,0.0881,0.0456
613,0.0914,0.0554
614,0.0937,0.0618
615,0.108,0.0589
616,0.1049,0.0624
617,0.1004,0.0638
618,0.1167,0.0648
619,0.1013,0.0697
620,0.0874,0.0851
621,0.1442,0.0955
622,0.1538,0.1052
623,0.1187,0.1281
624,0.1308,0.1371
625,0.1806,0.1671
626,0.1631,0.1879
627,0.1264,0.1634
628,0.1308,0.1365
629,0.1329,0.1791
630,0.1408,0.1733
631,0.1441,0.1634
632,0.0933,0.1763
633,0.1147,0.1625
634,0.0942,0.1647
635,0.0768,0.1715
636,0.0882,0.1684
637,0.0849,0.1758
638,0.0944,0.1792
639,0.0786,0.1759
640,0.1192,0.1823
641,0.0991,0.1934
642,0.1506,0.1948
643,0.1408,0.1867
644,0.1378,0.1965
645,0.1423,0.1943
646,0.1147,0.1585
647,0.1295,0.1499
648,0.1728,0.1836
649,0.1822,0.1719
650,0.1442,0.1377
651,0.1272,0.1393
652,0.1462,0.1566
653,0.1415,0.1541
654,0.0919,0.1432
655,0.145,0.1622
656,0.1218,0.176
657,0.0955,0.1985
658,0.0739,0.2282
659,0.0878,0.2371
660,0.0896,0.2428
661,0.0653,0.2364
662,0.0576,0.2053
663,0.0636,0.1814
664,0.0604,0.143
665,0.046,0.1098
666,0.0565,0.0944
667,0.0592,0.1097
668,0.12,0.1197
669,0.0604,0.0887
670,0.0469,0.0551
671,0.0646,0.0511
672,0.0334,0.061
673,0.0375,0.0733
674,0.032,0.0971
675,0.0294,0.1052
676,0.0273,0.0965
677,0.0245,0.0992
678,0.027,0.09
679,0.0304,0.0731
680,0.0142,0.0619
681,0.0182,0.0577
682,0.0188,0.0417
683,0.0218,0.0339
684,0.0198,0.0326
685,0.0183,0.0356
686,0.0183,0.0413
687,0.0375,0.0409
688,0.0387,0.0401
689,0.0257,0.0385
690,0.0628,0.0448
691,0.0962,0.057
692,0.1291,0.0575
693,0.1122,0.0526
694,0.1327,0.0507
695,0.1525,0.0457
696,0.1034,0.0497
697,0.095,0.0502
698,0.0453,0.0557
699,0.0385,0.0602
700,0.0342,0.0629
701,0.0331,0.0511
702,0.0489,0.0401
703,0.0915,0.0476
704,0.1261,0.0589
705,0.0926,0.064
706,0.114,0.0667
707,0.0977,0.0695
708,0.0863,0.0593
709,0.0887,0.0513
710,0.1137,0.0501
711,0.091,0.0484
712,0.0779,0.0416
713,0.1018,0.0421
714,0.086,0.0414
715,0.0853,0.042
716,0.0965,0.0443
717,0.0975,0.0491
718,0.1318,0.0564
719,0.1099,0.0645
720,0.1631,0.0818
721,0.1459,0.1046
722,0.1462,0.1264
723,0.2158,0.1341
724,0.1092,0.1281
725,0.1612,0.1235
726,0.0953,0.1222
727,0.1129,0.1288
728,0.0755,0.1156
729,0.0888,0.1104
730,0.0538,0.093
731,0.0498,0.0848
732,0.0664,0.0894
733,0.0507,0.0867
734,0.0405,0.0783
735,0.0579,0.0776
736,0.0462,0.0862
737,0.0732,0.0947
738,0.0638,0.1029
739,0.1083,0.1123
740,0.0924,0.1054
741,0.0685,0.1031
742,0.0811,0.1105
743,0.1036,0.109
744,0.116,0.1417
745,0.105,0.1481
746,0.1106,0.1461
747,0.1096,0.1382
748,0.1009,0.1248
749,0.0872,0.1116
750,0.0847,0.1039
751,0.1556,0.11
752,0.1291,0.106
753,0.1417,0.1211
754,0.0932,0.1418
755,0.1113,0.1733
756,0.1378,0.192
757,0.1457,0.0472
758,0.1113,0.0495
759,0.1239,0.0524
760,0.1538,0.0512
761,0.1167,0.0444
762,0.1164,0.0466
763,0.1077,0.0465
764,0.1338,0.0491
765,0.1203,0.0429
766,0.0919,0.0445
767,0.1128,0.0507
768,0.1311,0.0525
769,0.1273,0.0526
770,0.1335,0.0568
771,0.1412,0.0641
772,0.1424,0.0621
773,0.1451,0.0679
774,0.1705,0.0736
775,0.1856,0.0788
776,0.1905,0.0953
777,0.1588,0.0999
778,0.1387,0.1041
779,0.1547,0.1091
780,0.1781,0.1168
781,0.1719,0.121
782,0.1317,0.1301
783,0.1635,0.1483
784,0.143,0.1457
785,0.1331,0.1327
786,0.1221,0.1127
787,0.1158,0.1036
788,0.1061,0.1028
789,0.1,0.0997
790,0.1005,0.0883
791,0.0978,0.0836
792,0.0844,0.0822
793,0.1381,0.0888
794,0.1318,0.0794
795,0.111,0.0718
796,0.1399,0.0777
797,0.1261,0.0802
798,0.1282,0.0762
799,0.1297,0.0688
800,0.123,0.0716
