,y_test,y_test_pred
0,0.128,0.131376079
1,0.085,0.071555457
2,0.119,0.091549761
3,0.0725,0.096408916
4,0.079,0.085686035
5,0.103,0.075106141
6,0.1298,0.146990657
7,0.0689,0.095671686
8,0.113,0.023622064
9,0.206,0.259440805
10,0.171,0.204646572
11,0.1272,0.178469308
12,0.1261,0.083474006
13,0.1156,0.143143745
14,0.012,0.039085151
15,0.0971,0.114295339
16,0.0863,0.121255012
17,0.107,0.104233773
18,0.15,0.164635948
19,0.078,0.099167748
20,0.11,0.105013446
21,0.079,0.067214741
22,0.143,0.093126535
23,0.07,0.04585089
24,0.087,0.112434738
25,0.114,0.085747816
26,0.15,0.193239889
27,0.1318,0.108654126
28,0.1845,0.224780718
29,0.182,0.199636064
30,0.141,0.14884598
31,0.1547,0.139697037
32,0.091,0.222779161
33,0.0896,0.101142665
34,0.1205,0.092877046
35,0.137,0.11811927
36,0.273,0.247354313
37,0.096,0.130329885
38,0.112,0.087629707
39,0.131,0.158207872
40,0.0809,0.114634645
41,0.146,0.169039362
42,0.0977,0.1160197
43,0.1308,0.176325028
44,0.11,0.214687811
45,0.19,0.187798759
46,0.113,0.133039692
47,0.093,0.088062779
48,0.071,0.084831301
49,0.322,0.284492227
50,0.146,0.142822184
51,0.108,0.087695323
52,0.0942,0.121111609
53,0.075,0.031835616
54,0.104,0.11700156
55,0.1311,0.147131951
56,0.122,0.099198783
57,0.053,0.018635392
58,0.2,0.244711875
59,0.192,0.202011377
60,0.248,0.240526239
61,0.1,0.113681137
62,0.0685,0.088410601
63,0.233,0.223015845
64,0.134,0.127335369
65,0.119,0.061449992
66,0.161,0.17451931
67,0.1238,0.139282618
68,0.0579,0.102632625
69,0.1124,0.062945439
70,0.1018,0.10392736
71,0.0914,0.119948065
72,0.109,0.097699351
73,0.119,0.053335832
74,0.1219,0.141900853
75,0.0218,-0.001183269
76,0.1419,0.128424868
77,0.14,0.114125262
78,0.0462,0.058160769
79,0.107,0.114415772
80,0.154,0.213332644
81,0.094,0.065190574
82,0.096,0.065929979
83,0.156,0.142877696
84,0.091,0.10011223
85,0.092,0.109563433
86,0.115,0.111004544
87,0.151,0.127287461
88,0.0671,0.119218846
89,0.066,0.077182465
90,0.135,0.173344428
91,0.0453,0.057900769
92,0.0761,0.088311982
93,0.094,0.093749703
94,0.0754,0.080235587
95,0.0944,0.092551109
96,0.116,0.087172679
97,0.1673,0.200646072
98,0.49,0.641710667
99,0.106,0.073041832
100,0.146,0.149103076
101,0.166,0.162011335
102,0.133,0.132442142
103,0.234,0.242110857
104,0.08,0.083265759
105,0.0245,0.009805922
106,0.203,0.130608834
107,0.194,0.036527555
108,0.1239,0.114483784
109,0.1781,0.161485659
110,0.088,0.056333889
111,0.0487,0.083415028
112,0.191,0.252703796
113,0.144,0.17200054
114,0.1164,0.092822603
115,0.13,0.138946864
116,0.1061,0.120798636
117,0.752,0.769651034
118,0.112,0.21475246
119,0.1822,0.173850482
120,0.0628,0.022991685
121,0.018,-0.002143566
122,0.069,0.116713018
123,0.0375,0.022084639
124,0.103,0.10357802
125,0.153,0.102397676
126,0.098,0.030410727
127,0.075,0.105291164
128,0.286,0.302254652
129,0.0795,0.12337419
130,0.058,0.050487338
131,0.469,0.643893604
132,0.1018,0.091801633
133,0.094,0.082441564
134,0.182,0.187279103
135,0.1218,0.160393344
136,0.627,0.564266422
137,0.11,0.266050993
138,0.195,0.167354921
139,0.129,0.115730416
140,0.067,0.070705933
141,0.189,0.163536011
142,0.1913,0.210240143
143,0.099,0.108750771
144,0.0946,0.09263188
145,0.0815,0.09094884
146,0.0993,0.097465527
147,0.103,0.100504148
148,0.117,0.064938125
149,0.097,0.107537126
150,0.276,0.260741575
151,0.055,0.076661446
152,0.126,0.158526547
153,0.085,0.06576167
154,0.049,0.034933196
155,0.134,0.1292114
156,0.103,0.111284897
157,0.171,0.203350164
158,0.401,0.280938267
159,0.092,0.094732956
160,0.1505,0.153393821
161,0.12,0.097491079
162,0.117,0.116080155
163,0.0257,0.023217342
164,0.835,0.787298328
165,0.147,0.16173624
166,0.199,0.177016446
167,0.108,0.085101401
168,0.139,0.124321271
169,0.644,0.911890716
170,0.437,0.465743674
171,0.102,0.109629864
172,0.531,0.752099837
173,0.187,0.190398818
174,0.163,0.133776317
175,0.097,0.089736496
176,0.142,0.181018529
177,0.0653,0.092749271
178,0.138,0.103030053
179,0.07,0.063010946
180,0.106,0.17532626
181,0.1459,0.233680676
182,0.0658,0.075366054
183,0.121,0.101184721
184,0.0964,0.107380873
185,0.0921,0.117457693
186,0.13,0.133208481
187,0.08,0.102826843
188,0.086,0.098439073
189,0.119,0.107326779
190,0.137,0.213332644
191,0.062,0.069347534
192,0.13,0.13500159
193,0.0183,0.004539218
194,0.151,0.161506468
195,0.125,0.16910529
196,0.12,0.154001566
197,0.167,0.124548367
198,0.152,0.163420702
199,0.293,0.239245182
200,0.126,0.292852328
201,0.576,0.901517196
202,0.1293,0.122440829
203,0.1167,0.17584463
204,0.122,0.119542872
205,0.112,0.261540153
206,0.114,0.096938035
207,0.1462,0.206870954
208,0.1325,0.14364796
209,0.164,0.177264476
210,0.1045,0.086387657
211,0.1096,0.124929447
212,0.1291,0.106324029
213,0.1027,0.045739949
214,0.117,0.17395386
215,0.109,0.161812816
216,0.0723,0.071888566
217,0.079,0.067383731
218,0.072,0.028997654
219,0.0692,0.06728534
220,0.0962,0.06775224
221,0.075,0.061061257
222,0.1095,0.086295125
