141,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,R
17,7,18,0.5,122,40,28,0.0677,29.9,53.7,0.1298
17,7,18,0.5,122,40,28,0.065,30,55.2,0.1298
17,7,18,0.5,122,40,28,0.0745,30.8,54,0.1437
18,7,21,0.5,110,38,30,0.0647,29.2,57.6,0.1433
18,7,21,0.5,110,38,30,0.0621,28.5,59.7,0.1161
18,7,21,0.5,110,38,30,0.0676,24.2,60,0.1322
19,7,22,0.5,97,43,23,0.0624,28.7,60.5,0.1135
19,7,22,0.5,97,43,23,0.0634,28.6,61.9,0.1113
19,7,22,0.5,97,43,23,0.0664,27.5,65.5,0.1106
20,7,26,0.5,82,58,24,0.063,27.3,66.6,0.096
20,7,26,0.5,82,58,24,0.0668,26.8,69.2,0.0978
21,7,25,0.5,76,53,23,0.0712,26.7,70.4,0.1011
21,7,25,0.5,76,53,23,0.0736,26.5,72,0.0813
21,7,25,0.5,76,53,23,0.076,26.1,73.5,0.0897
22,7,27,0.5,70,50,25,0.0784,26.2,73.5,0.1383
22,7,27,0.5,70,50,25,0.0845,26.2,73.3,0.1077
22,7,27,0.5,70,50,25,0.0827,25.6,74.1,0.0879
23,9,34,0.5,61,42,25,0.1021,25.9,75.1,0.1194
23,9,34,0.5,61,42,25,0.1061,25.8,74.9,0.095
5,9,28,0.5,70,19,19,0.0519,24.3,71.7,0.0755
5,9,28,0.5,70,19,19,0.0697,24.3,71.5,0.0748
5,9,28,0.5,70,19,19,0.0567,24.4,71.8,0.0921
6,9,31,0.5,68,31,22,0.0624,24.4,72.4,0.0795
6,9,31,0.5,68,31,22,0.0662,24.7,72,0.1156
6,9,31,0.5,68,31,22,0.0644,25.1,70.8,0.1058
7,8,34,0.5,75,31,17,0.0652,26.1,66.9,0.1281
7,8,34,0.5,75,31,17,0.0593,27.1,63.2,0.1065
8,8,32,0.5,84,20,19,0.0516,27.5,60.2,0.1034
8,8,32,0.5,84,20,19,0.0442,27.5,57.9,0.0962
8,8,32,0.5,84,20,19,0.0455,27,56.8,0.0993
12,7,14,0.5,141,25,23,0.0514,29.6,51.2,0.0942
12,7,14,0.5,141,25,23,0.0573,29.6,52,0.1212
13,10,18,0.5,131,43,26,0.0545,30.2,52.9,0.1187
13,10,18,0.5,131,43,26,0.0539,29,55.4,0.1128
13,10,18,0.5,131,43,26,0.0577,29.4,53.6,0.1219
14,11,18,0.5,131,46,28,0.0514,29.7,50.8,0.1293
14,11,18,0.5,131,46,28,0.0506,29.3,50.8,0.1306
