767,3,,
KSL,Tem,Hum,R
0.099,32.66,42.25,0.214
0.096,31.09,42.87,0.234
0.065,28.29,40.55,0.152
0.074,26.49,49.73,0.156
0.093,25.27,62.04,0.154
0.114,25.27,62.04,0.125
0.105,24.6,74.35,0.099
0.101,24.06,80.14,0.123
0.12,25.02,75.82,0.167
0.1,32.57,47.53,0.276
0.073,32.8,37.17,0.181
0.072,32.43,41.86,0.162
0.062,31.23,39.99,0.16
0.066,29.9,42.63,0.182
0.075,27.73,47.89,0.182
0.087,26.19,58.27,0.195
0.106,26.19,58.27,0.115
0.112,24.19,71.31,0.169
0.109,23.72,73.97,0.133
0.105,23.71,75.24,0.181
0.078,28.65,59.02,0.175
0.058,38.97,31.38,0.166
0.049,37.53,28.91,0.146
0.046,35.76,29.32,0.154
0.06,34.07,35.5,0.175
0.071,31.03,42.89,0.213
0.072,28.27,52.64,0.194
0.083,26.36,69.38,0.171
0.093,26.36,69.38,0.137
0.092,25.24,83.29,0.11
0.094,25.25,85.14,0.107
0.102,26.32,81.19,0.15
0.082,31.34,58.46,0.161
0.061,35,40.14,0.172
0.058,33.4,41.48,0.189
0.056,31.95,44.44,0.163
0.065,29.86,54.44,0.138
0.065,27.9,67.21,0.162
0.056,26.97,75.67,0.14
0.051,26.97,75.67,0.146
0.05,26.92,80.37,0.107
0.048,27.11,82.66,0.085
0.057,27.21,82.51,0.136
0.072,28.12,78.83,0.216
0.051,26.31,92.88,0.058
0.05,26.5,93.36,0.077
0.062,26.31,94.03,0.08
0.063,26.31,94.71,0.06
0.1,26.31,94.65,0.068
0.107,26.31,94.39,0.055
0.062,26.31,94.39,0.027
0.087,26.31,94.02,0.041
0.186,26.31,93.76,0.056
0.252,27.39,91.23,0.076
0.196,31.07,76.35,0.144
0.086,35.27,59.01,0.12
0.068,36.27,54.53,0.146
0.066,35.59,55.16,0.131
0.054,31.02,73.51,0.147
0.051,27.78,91.77,0.058
0.067,27.2,94.06,0.079
0.116,27.2,94.06,0.083
0.146,27.21,91.2,0.125
0.193,27.21,92.18,0.113
0.197,27.21,92.18,0.194
0.162,27.94,86.95,0.253
0.191,29.08,81.88,0.23
0.306,28.79,88.17,0.121
0.21,28.34,88.38,0.218
0.149,28.96,84.05,0.182
0.086,28.26,84.46,0.15
0.073,27.86,85.53,0.118
0.084,27.21,86.44,0.107
0.053,27.21,86.44,0.058
0.055,25.93,93.69,0.012
0.037,25.25,93.52,0.011
0.031,25.3,92.13,0.042
0.035,26.3,89.51,0.06
0.036,27.01,83.36,0.094
0.038,27.21,85.97,0.119
0.046,14.5,23.9,0.106
0.051,14.7,22.6,0.09
0.053,14.6,23.7,0.095
0.055,14.3,21.4,0.087
0.068,14.2,25.3,0.101
0.089,14.1,32.7,0.118
0.114,14.6,40.9,0.152
0.147,13,53.4,0.152
0.161,12.3,57,0.157
0.155,11.6,59.7,0.128
0.166,11.6,60.6,0.133
0.175,11.2,64.3,0.129
0.183,11.2,66.3,0.134
0.183,11.1,66.9,0.12
0.181,11,68.9,0.122
0.178,11,70.1,0.119
0.173,10.8,71.2,0.117
0.172,10.7,72.2,0.125
0.165,10.7,73.7,0.094
0.164,10.6,74.1,0.088
0.157,10.5,76.1,0.088
0.156,10.4,75.6,0.072
0.162,10.4,75.6,0.065
0.149,10.3,77.6,0.062
0.141,10.1,75.9,0.063
0.138,10.1,76.7,0.054
0.13,9.9,76.3,0.092
0.123,9.7,76.5,0.063
0.119,10,75.5,0.066
0.12,10.3,74.4,0.071
0.122,10.2,76.2,0.087
0.125,10.3,74.7,0.097
0.123,10.3,74.2,0.129
0.121,10.3,72.9,0.146
0.121,10.8,71.4,0.184
0.1,11.4,67.9,0.149
0.087,12.1,64.5,0.138
0.08,12.6,63.3,0.11
0.083,13.1,66.1,0.105
0.079,13.7,64.1,0.103
0.07,14.3,63.9,0.119
0.067,14.7,64.2,0.114
0.065,14.9,62.9,0.107
0.083,14.9,63.6,0.099
0.089,14.7,67.1,0.128
0.095,14.5,73,0.12
0.106,14.1,75.5,0.141
0.104,13.7,74.1,0.146
0.109,13,78.1,0.09
0.117,12.7,79,0.104
0.126,12.7,80.1,0.081
0.154,12.4,73.9,0.189
0.127,13.2,70.5,0.143
0.125,13.7,68.8,0.138
0.112,14.4,64.5,0.149
0.1,15,62.1,0.13
0.089,15.5,58.4,0.119
0.088,15.9,55.6,0.113
0.082,16.1,52.9,0.126
0.086,16.4,52.6,0.148
0.088,16.7,52,0.153
0.093,17.1,52.5,0.172
0.095,17.5,52.5,0.164
0.103,17.5,51.1,0.163
0.11,17.2,58.4,0.208
0.12,16.8,58.6,0.166
0.139,16.4,61.2,0.19
0.145,15.8,61.2,0.179
0.13,15.3,61.9,0.139
