424,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Grav,Tem,Hum,Casella
3,6,27,0.3,42,19,16,0.041,26.31,94.02,0.087
5,6,30,0.4,36,19,29,0.056,26.31,93.76,0.186
7,8,50,0.6,18,19,49,0.076,27.39,91.23,0.252
9,10,33,0.7,46,19,53,0.144,31.07,76.35,0.196
11,8,20,0.3,90,19,39,0.12,35.27,59.01,0.086
13,7,20,0.3,123,19,28,0.146,36.27,54.53,0.068
15,7,20,0.3,127,22,22,0.131,35.59,55.16,0.066
17,8,31,0.8,88,33,24,0.147,31.02,73.51,0.054
19,6,34,0.7,52,43,13,0.058,27.78,91.77,0.051
21,6,63,0.8,17,19,18,0.079,27.2,94.06,0.067
0,7,48,0.7,26,19,23,0.083,27.2,94.06,0.116
2,9,27,0.7,41,19,36,0.125,27.21,91.2,0.146
4,8,25,0.6,44,19,33,0.113,27.21,92.18,0.193
5,7,21,0.7,49,19,44,0.194,27.21,92.18,0.197
8,8,50,0.8,26,19,38,0.253,27.94,86.95,0.162
10,10,56,0.9,30,52,36,0.23,29.08,81.88,0.191
12,9,56,0.8,46,65,55,0.121,28.79,88.17,0.306
14,7,41,0.9,63,65,59,0.218,28.34,88.38,0.21
16,6,40,0.8,61,65,39,0.182,28.96,84.05,0.149
18,6,30,0.7,72,65,28,0.15,28.26,84.46,0.086
20,6,29,0.7,81,22,17,0.118,27.86,85.53,0.073
22,6,23,0.7,81,20,14,0.107,27.21,86.44,0.084
1,6,17,0.6,69,20,16,0.058,27.21,86.44,0.053
3,6,11,0.6,69,20,16,0.012,25.93,93.69,0.055
5,6,9,0.6,73,20,14,0.011,25.25,93.52,0.037
7,6,21,0.6,70,20,11,0.042,25.3,92.13,0.031
9,6,30,0.6,77,7,5,0.06,26.3,89.51,0.035
11,6,22,0.6,95,7,10,0.094,27.01,83.36,0.036
13,6,12,0.6,117,7,6,0.119,27.21,85.97,0.038
15,11,16,0.7,110,7,21,0.106,14.5,23.9,0.046
15,11,16,0.7,110,7,21,0.09,14.7,22.6,0.051
16,13,18,0.7,109,7,20,0.095,14.6,23.7,0.053
16,13,18,0.7,109,7,20,0.087,14.3,21.4,0.055
17,23,28,0.9,103,26,23,0.101,14.2,25.3,0.068
17,23,28,0.9,103,26,23,0.118,14.1,32.7,0.089
18,16,38,1,94,60,32,0.152,14.6,40.9,0.114
18,16,38,1,94,60,32,0.152,13,53.4,0.147
19,12,45,1.1,88,77,44,0.157,12.3,57,0.161
19,12,45,1.1,88,77,44,0.128,11.6,59.7,0.155
20,12,45,1.1,82,62,53,0.133,11.6,60.6,0.166
20,12,45,1.1,82,62,53,0.129,11.2,64.3,0.175
21,12,48,1.1,78,61,58,0.134,11.2,66.3,0.183
21,12,48,1.1,78,61,58,0.12,11.1,66.9,0.183
22,12,43,1.1,83,61,62,0.122,11,68.9,0.181
22,12,43,1.1,83,61,62,0.119,11,70.1,0.178
23,13,33,1,93,61,57,0.117,10.8,71.2,0.173
23,13,33,1,93,61,57,0.125,10.7,72.2,0.172
0,12,33,1,88,61,53,0.094,10.7,73.7,0.165
0,12,33,1,88,61,53,0.088,10.6,74.1,0.164
1,12,30,1,88,61,55,0.088,10.5,76.1,0.157
1,12,30,1,88,61,55,0.072,10.4,75.6,0.156
2,13,28,1,84,61,51,0.065,10.4,75.6,0.162
2,13,28,1,84,61,51,0.062,10.3,77.6,0.149
3,15,28,1,80,61,46,0.063,10.1,75.9,0.141
3,15,28,1,80,61,46,0.054,10.1,76.7,0.138
4,13,24,1,83,61,45,0.092,9.9,76.3,0.13
4,13,24,1,83,61,45,0.063,9.7,76.5,0.123
5,12,24,0.9,83,33,48,0.066,10,75.5,0.119
5,12,24,0.9,83,33,48,0.071,10.3,74.4,0.12
6,12,26,0.9,82,33,42,0.087,10.2,76.2,0.122
6,12,26,0.9,82,33,42,0.097,10.3,74.7,0.125
7,12,43,0.9,67,33,46,0.129,10.3,74.2,0.123
7,12,43,0.9,67,33,46,0.146,10.3,72.9,0.121
8,12,57,1,57,33,38,0.184,10.8,71.4,0.121
8,12,57,1,57,33,38,0.149,11.4,67.9,0.1
9,13,42,0.9,73,33,32,0.138,12.1,64.5,0.087
9,13,42,0.9,73,33,32,0.11,12.6,63.3,0.08
10,13,29,0.9,86,35,30,0.105,13.1,66.1,0.083
10,13,29,0.9,86,35,30,0.103,13.7,64.1,0.079
11,12,26,0.8,91,35,23,0.119,14.3,63.9,0.07
11,12,26,0.8,91,35,23,0.114,14.7,64.2,0.067
12,12,23,0.8,97,31,23,0.107,14.9,62.9,0.065
12,12,23,0.8,97,31,23,0.099,14.9,63.6,0.083
13,14,31,0.9,87,32,20,0.128,14.7,67.1,0.089
13,14,31,0.9,87,32,20,0.12,14.5,73,0.095
14,15,36,0.9,86,42,29,0.141,14.1,75.5,0.106
14,15,36,0.9,86,42,29,0.146,13.7,74.1,0.104
15,15,39,0.9,87,37,34,0.09,13,78.1,0.109
15,15,39,0.9,87,37,34,0.104,12.7,79,0.117
16,13,32,1,93,41,37,0.081,12.7,80.1,0.126
9,22,49,0.8,72,60,53,0.189,12.4,73.9,0.154
10,61,41,0.8,84,57,53,0.143,13.2,70.5,0.127
10,61,41,0.8,84,57,53,0.138,13.7,68.8,0.125
11,59,34,0.7,97,53,47,0.149,14.4,64.5,0.112
11,59,34,0.7,97,53,47,0.13,15,62.1,0.1
12,24,27,0.5,106,51,39,0.119,15.5,58.4,0.089
12,24,27,0.5,106,35,39,0.113,15.9,55.6,0.088
13,34,26,0.5,112,35,31,0.126,16.1,52.9,0.082
13,34,26,0.5,112,35,31,0.148,16.4,52.6,0.086
14,17,23,0.5,120,35,29,0.153,16.7,52,0.088
14,17,23,0.5,120,35,29,0.172,17.1,52.5,0.093
15,13,24,0.5,125,40,29,0.164,17.5,52.5,0.095
15,13,24,0.5,125,40,29,0.163,17.5,51.1,0.103
16,9,25,0.5,104,52,35,0.208,17.2,58.4,0.11
16,9,25,0.5,104,52,35,0.166,16.8,58.6,0.12
17,9,32,0.6,113,61,37,0.19,16.4,61.2,0.139
17,9,32,0.6,113,61,37,0.179,15.8,61.2,0.145
18,10,36,0.6,111,65,45,0.139,15.3,61.9,0.13
18,10,36,0.6,111,65,45,0.129,14.9,69.4,0.123
19,10,36,0.6,103,57,40,0.133,15,69.9,0.109
19,10,36,0.6,103,57,40,0.129,14.8,70.9,0.102
20,9,33,0.6,97,51,34,0.119,14.8,74.2,0.103
20,9,33,0.6,97,51,34,0.116,14.6,74.8,0.106
21,9,33,0.6,92,48,32,0.112,14.3,75.1,0.096
9,10,37,0.7,55,45,42,0.208,14.8,83.9,0.112
9,10,37,0.7,55,42,42,0.07,14.8,82.9,0.081
10,8,31,0.8,66,39,40,0.117,14.5,82.2,0.051
10,8,31,0.8,66,36,40,0.174,14.6,80.7,0.057
11,8,31,1,64,33,29,0.203,14.6,78.2,0.055
11,8,31,1,64,30,29,0.134,14.7,77.5,0.05
12,8,33,0.8,67,27,23,0.108,14.4,76.3,0.05
12,8,33,0.8,67,28,23,0.347,13.6,76.2,0.051
13,7,32,0.6,78,28,26,0.102,13.6,75.1,0.053
13,7,32,0.6,78,28,26,0.075,13.5,76.3,0.054
14,7,37,0.6,72,28,26,0.095,13.6,75.9,0.056
14,7,37,0.6,72,28,26,0.071,13.2,74.9,0.061
15,7,40,0.6,66,28,28,0.074,13.1,79.3,0.07
15,7,40,0.6,66,28,28,0.07,13.4,76.7,0.074
16,8,50,0.7,61,28,31,0.085,13.8,74.1,0.077
16,8,50,0.7,61,28,31,0.101,14.2,73.6,0.088
17,8,59,0.7,54,38,36,0.101,14.2,73.5,0.089
17,8,59,0.7,54,38,36,0.11,14.5,71.7,0.096
18,8,59,0.8,57,38,38,0.115,14.3,71.6,0.101
18,8,59,0.8,57,38,38,0.111,14.4,71.3,0.106
19,8,56,0.8,58,38,40,0.117,14.4,70.2,0.115
19,8,56,0.8,58,38,40,0.112,14.4,71.2,0.12
20,8,52,0.8,58,38,43,0.104,14.1,71.2,0.13
20,8,52,0.8,58,38,43,0.103,14,72.8,0.133
13,8,12,0.6,138,38,26,0.1587,30.2,52.9,0.0651
13,8,12,0.6,138,38,26,0.1428,29.5,53.7,0.0621
14,8,14,0.5,136,30,24,0.1325,30.1,52.7,0.0606
14,8,14,0.5,136,30,24,0.1529,30.4,52,0.0613
14,8,14,0.5,136,30,24,0.131,30.6,51.1,0.0596
14,8,14,0.5,136,30,24,0.1262,31,51.1,0.0589
15,7,13,0.5,138,28,22,0.1344,31,51.5,0.0614
15,7,13,0.5,138,28,22,0.1572,30.2,54.6,0.0606
15,7,13,0.5,138,28,22,0.1425,30.2,55,0.0638
16,7,15,0.6,127,45,28,0.137,30.7,53.6,0.0638
16,7,15,0.6,127,45,28,0.1279,30.8,53.9,0.0664
16,7,15,0.6,127,45,28,0.1252,30.9,52.8,0.0627
17,7,18,0.5,122,40,28,0.1238,29.7,55.5,0.0664
17,7,18,0.5,122,40,28,0.1298,29.9,53.7,0.0677
17,7,18,0.5,122,40,28,0.1298,30,55.2,0.065
17,7,18,0.5,122,40,28,0.1437,30.8,54,0.0745
18,7,21,0.5,110,38,30,0.1433,29.2,57.6,0.0647
18,7,21,0.5,110,38,30,0.1161,28.5,59.7,0.0621
18,7,21,0.5,110,38,30,0.1322,24.2,60,0.0676
19,7,22,0.5,97,43,23,0.1135,28.7,60.5,0.0624
19,7,22,0.5,97,43,23,0.1113,28.6,61.9,0.0634
19,7,22,0.5,97,43,23,0.1106,27.5,65.5,0.0664
20,7,26,0.5,82,58,24,0.096,27.3,66.6,0.063
20,7,26,0.5,82,58,24,0.0978,26.8,69.2,0.0668
21,7,25,0.5,76,53,23,0.1011,26.7,70.4,0.0712
21,7,25,0.5,76,53,23,0.0813,26.5,72,0.0736
21,7,25,0.5,76,53,23,0.0897,26.1,73.5,0.076
22,7,27,0.5,70,50,25,0.1383,26.2,73.5,0.0784
22,7,27,0.5,70,50,25,0.1077,26.2,73.3,0.0845
22,7,27,0.5,70,50,25,0.0879,25.6,74.1,0.0827
23,9,34,0.5,61,42,25,0.1194,25.9,75.1,0.1021
23,9,34,0.5,61,42,25,0.095,25.8,74.9,0.1061
0,21,32,0.5,65,42,26,0.1061,25.6,74.8,0.0987
0,21,32,0.5,65,42,26,0.0725,25.7,73,0.0744
0,21,32,0.5,65,42,26,0.0754,25.6,72.3,0.0644
1,54,32,0.6,67,42,26,0.0978,25,73.2,0.0633
1,54,32,0.6,67,42,26,0.07,25.1,72.7,0.0597
2,49,29,0.5,72,42,25,0.0714,24.8,72.5,0.0541
2,49,29,0.5,72,42,25,0.0532,24.5,71.9,0.0445
2,49,29,0.5,72,42,25,0.0538,24.6,71,0.045
3,24,22,0.5,80,42,22,0.0559,24.4,71.1,0.0468
3,24,22,0.5,80,42,22,0.0495,24.4,70.7,0.0438
4,15,24,0.5,79,19,19,0.0761,24.4,70.6,0.0462
4,15,24,0.5,79,19,19,0.0658,24.3,71.2,0.0468
4,15,24,0.5,79,19,19,0.0804,24.2,71.3,0.0499
5,9,28,0.5,70,19,19,0.0755,24.3,71.7,0.0519
5,9,28,0.5,70,19,19,0.0748,24.3,71.5,0.0697
5,9,28,0.5,70,19,19,0.0921,24.4,71.8,0.0567
6,9,31,0.5,68,31,22,0.0795,24.4,72.4,0.0624
6,9,31,0.5,68,31,22,0.1156,24.7,72,0.0662
6,9,31,0.5,68,31,22,0.1058,25.1,70.8,0.0644
7,8,34,0.5,75,31,17,0.1281,26.1,66.9,0.0652
7,8,34,0.5,75,31,17,0.1065,27.1,63.2,0.0593
8,8,32,0.5,84,20,19,0.1034,27.5,60.2,0.0516
8,8,32,0.5,84,20,19,0.0962,27.5,57.9,0.0442
8,8,32,0.5,84,20,19,0.0993,27,56.8,0.0455
9,7,26,0.5,98,20,20,0.1056,27.7,56.1,0.046
9,7,26,0.5,98,20,20,0.0946,27.9,54.5,0.0426
10,7,16,0.5,116,20,20,0.1263,28.4,54,0.0474
10,7,16,0.5,116,20,20,0.1216,28.6,53.8,0.048
10,7,16,0.5,116,20,20,0.0948,28.9,51.9,0.0454
11,7,14,0.5,132,20,21,0.0986,28.8,51.6,0.0448
11,7,14,0.5,132,20,21,0.096,28.9,51.4,0.0431
12,7,14,0.5,132,20,21,0.0872,29.1,51.3,0.0436
12,7,14,0.5,141,25,23,0.0942,29.6,51.2,0.0514
12,7,14,0.5,141,25,23,0.1212,29.6,52,0.0573
13,10,18,0.5,131,43,26,0.1187,30.2,52.9,0.0545
13,10,18,0.5,131,43,26,0.1128,29,55.4,0.0539
13,10,18,0.5,131,43,26,0.1219,29.4,53.6,0.0577
14,11,18,0.5,131,46,28,0.1293,29.7,50.8,0.0514
14,11,18,0.5,131,46,28,0.1306,29.3,50.8,0.0506
15,9,16,0.5,128,46,27,0.1239,30.2,49.8,0.0484
11,7,54,0.49,90,34,20,0.104,27.3,55.9,0.0605
12,7,64,0.519,96,35,19,0.086,28.2,52.6,0.063
13,7,68,0.53,91,33,18,0.081,29.2,47.6,0.0429
14,7,53,0.515,88,31,19,0.093,29.1,48.3,0.0469
15,7,60,0.655,80,40,18,0.093,28.3,54.6,0.0586
16,7,75,0.687,58,40,22,0.106,28.1,55.1,0.0606
17,8,85,0.797,51,43,13,0.109,28.3,51,0.0643
18,8,101,0.796,39,56,23,0.094,26.6,61.4,0.0774
19,7,92,0.777,35,63,20,0.149,25.5,69.4,0.1003
20,7,74,0.535,40,57,25,0.125,24.5,75.4,0.1326
21,7,80,0.587,40,68,33,0.172,23.9,77.6,0.1775
22,7,59,0.486,46,56,41,0.129,23.2,80,0.15
23,7,46,0.422,53,50,33,0.137,23.1,82,0.1762
0,7,31,0.281,65,40,33,0.119,23.4,79.5,0.1698
1,7,24,0.298,71,38,32,0.104,22.7,81.8,0.1636
2,7,22,0.307,71,38,33,0.083,22.7,82.4,0.17
3,7,23,0.286,74,36,28,0.09,22.5,83.2,0.1775
4,7,30,0.282,68,39,28,0.099,22.7,82.3,0.1791
5,7,48,0.359,48,51,30,0.125,22.7,82.7,0.1941
6,7,61,0.517,41,65,31,0.139,23.3,81.8,0.1916
7,7,64,0.626,42,56,30,0.129,23.8,80.5,0.1764
8,8,81,0.947,29,70,26,0.151,24.1,81.9,0.1667
9,7,79,0.795,31,64,29,0.163,24.7,79.7,0.1548
10,7,71,0.831,34,63,32,0.137,25.3,77.8,0.148
11,7,76,0.788,37,54,34,0.117,25.2,79.2,0.1486
12,7,84,0.929,31,63,32,0.133,25.1,81.5,0.1691
13,7,84,0.873,28,51,37,0.085,24.9,87.4,0.2134
14,7,83,0.915,26,45,39,0.089,24.8,90.2,0.24
15,7,87,1.126,26,38,41,0.061,24.3,92.9,0.2209
16,8,92,1.213,24,33,28,0.062,23.8,89.6,0.1622
17,8,77,1.028,30,24,27,0.051,23.2,87.8,0.1021
18,8,90,1.049,20,35,24,0.09,22.7,90.4,0.1147
19,8,109,0.786,37,20,18,0.054,21.9,83.6,0.0719
20,8,87,0.737,31,38,20,0.049,20.8,91.4,0.0561
21,7,81,0.662,32,31,18,0.035,20.2,98.9,0.0852
22,7,75,0.665,38,25,26,0.028,20.6,98.5,0.1008
23,7,67,0.65,52,22,14,0.026,20.2,98.6,0.0946
0,7,40,0.412,86,15,13,0.022,19.7,96.8,0.0675
1,7,29,0.362,90,13,14,0.018,19.8,90.2,0.0497
2,7,20,0.279,104,15,10,0.021,19.5,89.4,0.0333
3,7,19,0.267,103,14,6,0.018,19.3,92.4,0.0384
4,7,38,0.295,86,19,7,0.038,19.9,90.6,0.0405
5,7,49,0.299,74,24,8,0.044,20,92.6,0.0416
6,7,88,0.464,27,43,11,0.113,20.5,91.1,0.0572
7,7,91,0.614,29,52,13,0.122,21.2,88.3,0.0517
8,7,93,0.717,33,59,14,0.128,21.6,87.4,0.0477
9,7,92,0.746,36,41,17,0.07,21.1,96,0.0529
10,7,89,0.781,32,27,21,0.036,21,99.8,0.0616
11,7,78,0.674,66,21,16,0.041,22.3,91.3,0.0456
12,7,82,0.74,59,45,13,0.109,23,84.5,0.0532
13,7,82,0.682,51,47,19,0.103,23.1,86,0.0653
14,7,77,0.757,66,40,17,0.092,24.6,77.8,0.0644
15,7,80,0.677,67,38,13,0.101,25.1,71.2,0.0507
16,7,83,0.771,64,41,19,0.084,24.9,51.5,0.045
17,7,88,0.799,60,45,19,0.094,25.6,59.4,0.0418
18,7,81,0.711,63,51,13,0.091,24.8,68.7,0.0431
19,7,88,0.653,57,62,13,0.115,23.4,74.9,0.0528
20,7,86,0.689,51,61,18,0.137,23,79,0.0731
21,8,94,0.744,36,72,23,0.146,22.8,81.1,0.1155
22,8,82,0.634,49,68,26,0.163,22.5,82.6,0.1311
23,8,77,0.592,48,54,28,0.128,17.1,85.7,0.1228
0,7,45,0.415,69,41,25,0.094,21.7,88.1,0.1222
1,7,35,0.378,83,32,21,0.071,21.9,88.3,0.1017
2,7,24,0.302,91,29,16,0.058,22.1,88.1,0.0871
3,7,21,0.269,96,23,15,0.046,22.2,88.3,0.0825
4,7,30,0.282,87,23,15,0.052,21.7,88.2,0.0819
5,7,47,0.304,68,29,19,0.069,22.4,89.4,0.0988
6,7,62,0.423,51,41,22,0.1,22.7,89.5,0.1088
7,7,58,0.445,58,37,22,0.075,23.1,89.7,0.1068
8,7,78,0.67,41,43,21,0.11,23.7,88.7,0.1253
9,7,61,0.606,60,48,23,0.108,24.6,85.8,0.1471
10,7,56,0.58,64,43,27,0.105,25.9,80.5,0.1315
11,7,59,0.555,78,39,26,0.086,26.9,76.5,0.1078
12,7,81,0.699,52,56,27,0.142,26.3,82.1,0.108
13,7,71,0.653,60,52,32,0.117,25.5,87,0.1315
14,7,57,0.591,68,54,33,0.125,25,89.8,0.1826
11,8,56,0.529,92,49,19,0.128,35.5,51.3,0.0483
12,8,45,0.441,115,40,25,0.139,35.9,50.1,0.0518
13,8,46,0.474,119,42,26,0.117,36.1,49.5,0.0455
14,8,63,0.532,117,47,25,0.121,36.6,49.2,0.0478
15,8,70,0.54,110,43,24,0.106,36.6,48.5,0.0437
16,8,109,1.087,84,57,24,0.122,36.3,50.4,0.0516
17,9,116,1.088,73,56,27,0.13,36.4,51.1,0.0547
18,8,108,1.078,75,60,29,0.142,35.9,52.3,0.0631
19,8,132,1.066,56,82,29,0.158,35,55.7,0.0707
20,8,89,0.756,111,93,36,0.188,33.1,63.6,0.087
21,8,89,0.887,84,79,40,0.149,32.6,67.4,0.102
22,7,86,0.774,61,82,42,0.166,32,70.5,0.113
23,7,58,0.691,62,68,40,0.152,31.4,73.6,0.1256
0,8,58,0.568,45,67,40,0.153,31.1,74.5,0.147
1,8,58,0.618,41,50,41,0.128,31.3,72.2,0.1227
2,8,45,0.566,49,50,38,0.111,31.4,70.3,0.1032
3,8,38,0.479,49,48,39,0.1,31,70.9,0.094
4,8,43,0.508,39,45,33,0.091,30.7,71.1,0.0829
5,9,50,0.479,33,47,32,0.135,30.7,70.1,0.0841
6,10,57,0.566,29,54,31,0.125,31.1,68.1,0.0747
7,10,69,0.681,38,52,31,0.127,31.9,65.3,0.0782
8,10,63,0.653,55,51,33,0.126,32.6,62.8,0.0702
9,10,56,0.577,84,60,31,0.177,33.2,60.7,0.0745
10,9,57,0.62,96,55,35,0.151,34.2,56.9,0.0709
11,9,56,0.592,110,46,35,0.155,34.7,54.9,0.0619
12,9,50,0.545,102,48,28,0.13,34.5,54.1,0.0564
13,9,51,0.566,96,42,25,0.116,34.2,53,0.0472
14,9,87,0.807,78,64,26,0.125,34.6,54.8,0.0588
15,8,99,0.855,79,65,27,0.138,34,56.7,0.0648
16,9,87,0.857,65,80,33,0.166,32.7,61.5,0.0719
17,8,67,0.924,45,52,35,0.136,30.6,69.4,0.0681
18,9,71,0.97,31,38,23,0.103,28.9,75.4,0.054
19,8,79,0.931,32,30,15,0.108,29.2,72.8,0.0545
20,8,75,0.768,30,35,18,0.108,28.9,71.6,0.0526
21,8,76,0.817,25,48,18,0.097,29,70.5,0.0483
22,8,66,0.801,22,45,19,0.097,28,77.7,0.0623
23,8,63,0.724,21,39,27,0.086,27.7,80.4,0.0899
0,8,49,0.746,22,35,25,0.074,27.2,83.5,0.118
1,8,40,0.896,26,29,25,0.055,27.3,85,0.1242
2,7,45,0.618,21,29,27,0.069,27.3,85.1,0.1743
3,7,45,0.602,16,34,31,0.074,27.1,86.5,0.2243
4,7,46,0.59,15,33,35,0.083,27,87.1,0.2445
5,7,44,0.581,14,41,39,0.108,27.1,86.4,0.2832
6,8,48,0.633,14,60,47,0.21,27.6,85.3,0.3066
7,8,73,0.985,11,78,46,0.174,28,84.1,0.2845
8,9,85,1.217,13,87,53,0.2,29,80.5,0.2977
9,8,97,1.314,18,87,59,0.205,29.5,77.7,0.2744
10,8,92,1.089,40,69,55,0.186,30.2,74.7,0.2457
11,8,102,1.132,51,67,55,0.189,30.6,71.5,0.2342
12,8,74,0.916,90,43,51,0.148,30.4,71.1,0.1659
13,8,73,0.842,97,31,42,0.141,30.7,68.7,0.1132
14,9,85,0.931,84,38,34,0.13,31.1,66.7,0.089
15,9,68,0.795,85,21,26,0.093,31.1,66,0.052
16,8,84,0.856,65,41,25,0.102,31.5,65,0.048
18,9,96,0.973,46,31,17,0.102,30.5,67.7,0.043
19,8,85,0.735,58,38,20,0.107,28.7,74.2,0.047
20,8,69,0.678,53,45,22,0.125,27.9,77.1,0.0614
21,8,70,0.655,41,34,17,0.112,27.6,77.5,0.0587
22,8,58,0.605,38,39,16,0.113,27.4,79.1,0.0518
23,7,45,0.521,36,29,16,0.098,27.2,80.4,0.0519
1,8,41,0.631,27,38,12,0.108,27.3,80.3,0.0642
2,7,35,0.477,30,32,17,0.082,27.4,80.2,0.0713
3,7,39,0.503,24,27,16,0.067,26.9,82.7,0.0769
4,8,36,0.46,28,19,16,0.065,27,82.2,0.0741
5,9,52,0.447,23,30,18,0.07,27.1,80.3,0.0563
6,9,58,0.588,16,38,18,0.092,27.2,78.7,0.0516
7,8,59,0.605,25,45,17,0.102,27.7,77,0.052
8,8,61,0.711,27,50,22,0.107,28.2,75.9,0.0621
9,8,68,0.989,23,64,26,0.112,27.9,78.2,0.0836
10,8,75,0.961,25,54,28,0.091,28.2,81.6,0.1409
11,8,75,0.883,28,29,33,0.103,27.5,83.8,0.1377
12,8,74,0.896,27,16,30,0.048,25.9,87.2,0.082
13,8,76,0.93,26,33,24,0.063,26,87.4,0.1088
15,8,71,0.97,29,27,20,0.09,27.3,79.8,0.0437
16,9,81,1.124,20,68,19,0.174,28.1,76,0.0565
17,9,83,1.09,20,79,19,0.15,28.2,78.9,0.0832
18,9,77,1.126,14,76,26,0.154,27.8,81.4,0.0991
19,8,58,0.715,19,71,29,0.164,27.7,84,0.117
20,8,52,0.755,16,51,26,0.13,27.7,84.7,0.0814
21,8,34,0.574,16,33,23,0.089,27.6,84.1,0.0551
22,7,24,0.591,20,23,15,0.062,27.3,84.5,0.045
23,7,19,0.343,20,10,13,0.054,27.1,84.9,0.0453
0,7,22,0.356,18,17,15,0.054,27.2,84,0.0436
1,8,24,0.47,13,24,13,0.033,26.7,87.2,0.0485
2,8,21,0.467,15,14,16,0.035,26.6,88.2,0.0505
3,8,18,0.443,21,11,10,0.035,26.5,88.1,0.0589
4,8,30,0.406,30,1,12,0.029,26.1,86.2,0.05
5,8,42,0.413,21,29,11,0.031,25.4,88.8,0.0544
6,8,54,0.716,9,34,17,0.058,25.7,90.2,0.0788
7,9,58,0.859,9,39,20,0.058,26.3,89.7,0.0997
8,8,63,1.051,9,34,22,0.052,26.6,89.2,0.1042
9,8,69,0.973,12,30,25,0.079,26.8,86.2,0.0906
10,8,60,1.026,13,43,21,0.058,27.4,84.8,0.0858
11,8,46,0.891,14,36,23,0.059,28.3,83.7,0.0787
12,8,48,0.808,18,28,19,0.09,28.9,80.8,0.0629
13,7,56,0.716,37,37,16,0.12,29.4,78.3,0.0663
14,8,61,0.809,33,54,22,0.12,29.3,77.7,0.0687
